game_id,time,P0_species,P0_Ability,P0_AddToControlGroup,P0_Camera,P0_ControlGroup,P0_GetControlGroup,P0_RightClick,P0_Selection,P0_SetControlGr6oup,P1_species,P1_Ability,P1_AddToControlGroup,P1_Camera,P1_ControlGroup,P1_GetControlGroup,P1_RightClick,P1_Selection,P1_SetControlGr6oup,winner,diff_Ability,diff_AddToControlGroup,diff_Camera,diff_ControlGroup,diff_GetControlGroup,diff_RightClick,diff_Selection,diff_SetControlGr6oup
76,4.03,P,18,3,174,0,161,157,35,0,T,25,0,179,0,7,42,35,3,1,7,-3,5,0,-154,-115,0,3
77,9.59,Z,34,1,367,0,13,86,135,3,T,45,0,480,0,18,81,90,4,1,11,-1,113,0,5,-5,-45,1
78,7.27,Z,53,6,335,0,138,168,183,3,Z,56,3,516,0,55,186,137,1,0,3,-3,181,0,-83,18,-46,-2
79,5.12,P,27,0,291,0,2,101,35,3,P,27,0,189,0,75,122,64,8,0,0,0,-102,0,73,21,29,5
80,5.51,T,29,2,500,0,1,134,141,0,P,24,0,325,1,1,56,40,0,0,-5,-2,-175,1,0,-78,-101,0
81,8.13,Z,74,8,416,0,528,350,264,9,P,102,3,453,0,328,279,259,6,1,28,-5,37,0,-200,-71,-5,-3
82,3.32,T,9,0,162,0,0,19,15,2,P,6,0,358,0,0,25,15,0,0,-3,0,196,0,0,6,0,-2
83,5.18,P,24,0,198,0,1,32,35,4,T,19,0,124,0,1,58,51,3,1,-5,0,-74,0,0,26,16,-1
84,8.32,T,58,3,315,0,25,127,68,2,P,21,0,286,0,0,25,49,0,0,-37,-3,-29,0,-25,-102,-19,-2
85,10.51,Z,65,4,462,0,46,246,225,0,Z,70,0,813,0,112,211,206,10,1,5,-4,351,0,66,-35,-19,10
86,9.59,T,72,10,505,0,72,82,84,0,T,81,4,769,0,343,146,107,4,0,9,-6,264,0,271,64,23,4
87,7.52,Z,62,7,347,0,662,125,206,2,T,75,0,487,0,248,109,71,8,1,13,-7,140,0,-414,-16,-135,6
88,1.02,P,3,0,16,0,1,8,3,2,T,3,0,31,0,0,7,5,0,0,0,0,15,0,-1,-1,2,-2
89,8.02,P,71,3,484,0,217,272,163,6,P,101,12,503,0,351,280,160,15,0,30,9,19,0,134,8,-3,9
90,4.24,P,26,0,120,0,122,92,32,1,Z,19,0,92,0,11,61,70,0,1,-7,0,-28,0,-111,-31,38,-1
91,10.28,T,66,2,465,0,59,220,87,5,Z,64,10,684,0,82,308,277,5,1,-2,8,219,0,23,88,190,0
92,4,Z,25,2,198,0,55,54,61,6,Z,27,0,430,0,40,196,58,8,0,2,-2,232,0,-15,142,-3,2
93,3.32,Z,13,1,117,0,6,85,60,5,Z,16,2,123,0,122,49,114,3,0,3,1,6,0,116,-36,54,-2
94,4.19,T,33,0,187,0,328,163,203,8,Z,25,3,198,0,39,105,101,1,0,-8,3,11,0,-289,-58,-102,-7
95,6.55,Z,33,0,224,0,31,204,130,1,P,44,3,574,0,23,272,119,1,1,11,3,350,0,-8,68,-11,0
96,8.26,Z,67,0,378,0,41,159,225,8,T,88,0,358,0,223,201,132,11,1,21,0,-20,0,182,42,-93,3
97,9.51,Z,72,17,517,0,179,373,283,3,T,98,4,952,1,131,422,128,4,0,26,-13,435,1,-48,49,-155,1
98,6.56,P,47,2,325,0,326,149,89,7,P,44,5,542,0,185,224,80,11,0,-3,3,217,0,-141,75,-9,4
99,4.31,Z,22,0,238,0,56,129,90,6,Z,37,3,162,0,81,271,163,9,0,15,3,-76,0,25,142,73,3
100,8.06,P,31,0,271,0,171,51,36,6,P,29,0,510,0,0,130,53,0,1,-2,0,239,0,-171,79,17,-6
101,9.59,P,37,6,416,0,14,166,65,0,P,22,0,266,0,0,93,52,2,0,-15,-6,-150,0,-14,-73,-13,2
102,9.59,P,103,0,534,18,314,379,202,1,Z,98,0,1077,0,85,194,232,14,0,-5,0,543,-18,-229,-185,30,13
103,9.59,Z,85,7,370,0,140,221,293,0,P,81,6,420,0,311,275,80,10,1,-4,-1,50,0,171,54,-213,10
104,9.59,T,88,4,342,0,553,293,99,8,P,69,0,317,0,45,142,81,9,1,-19,-4,-25,0,-508,-151,-18,1
105,6.16,Z,34,2,342,0,28,227,145,2,Z,28,0,406,15,306,148,229,2,0,-6,-2,64,15,278,-79,84,0
106,9.59,P,61,3,537,0,7,137,115,0,Z,55,1,170,0,21,84,150,3,1,-6,-2,-367,0,14,-53,35,3
107,3.14,T,15,0,133,0,12,100,24,6,P,14,0,174,0,3,57,26,2,1,-1,0,41,0,-9,-43,2,-4
108,6.44,P,47,1,224,0,263,103,95,10,Z,50,0,197,0,112,88,120,7,1,3,-1,-27,0,-151,-15,25,-3
109,4.54,T,31,0,260,0,8,83,53,4,P,26,5,98,0,80,72,74,0,1,-5,5,-162,0,72,-11,21,-4
110,9.34,Z,56,2,727,0,29,91,138,0,T,49,0,663,0,23,182,115,12,0,-7,-2,-64,0,-6,91,-23,12
111,8.42,Z,53,5,595,0,509,225,224,8,Z,71,10,312,1,130,198,125,4,0,18,5,-283,1,-379,-27,-99,-4
112,9.07,Z,62,0,467,0,31,162,228,12,P,80,5,636,0,285,264,183,8,0,18,5,169,0,254,102,-45,-4
113,6.33,P,29,0,342,0,0,132,42,1,T,29,0,402,0,0,67,90,0,1,0,0,60,0,0,-65,48,-1
114,9.59,Z,64,7,944,0,12,270,167,3,P,57,6,441,0,14,132,95,10,1,-7,-1,-503,0,2,-138,-72,7
115,10.29,Z,55,0,785,0,33,142,168,2,T,59,5,834,0,37,171,164,0,0,4,5,49,0,4,29,-4,-2
116,9.59,T,95,11,538,1,615,320,216,9,T,118,7,664,0,733,280,117,11,0,23,-4,126,-1,118,-40,-99,2
117,4.22,P,24,0,180,0,0,50,45,0,P,17,2,144,0,9,41,24,1,1,-7,2,-36,0,9,-9,-21,1
118,2.58,Z,12,2,124,0,132,81,46,0,P,23,0,225,0,8,53,39,1,0,11,-2,101,0,-124,-28,-7,1
119,9.59,P,93,0,427,0,252,237,116,22,T,122,14,470,0,361,522,263,2,1,29,14,43,0,109,285,147,-20
120,7.2,P,45,6,440,0,22,175,53,0,Z,37,3,503,1,5,76,128,0,0,-8,-3,63,1,-17,-99,75,0
121,8.22,P,55,0,269,0,13,162,77,3,Z,52,0,830,0,46,70,420,1,1,-3,0,561,0,33,-92,343,-2
122,9.59,Z,55,0,584,0,14,161,193,3,P,50,0,544,0,6,133,76,2,1,-5,0,-40,0,-8,-28,-117,-1
123,6.59,T,47,0,237,0,188,204,180,11,T,66,3,347,0,616,240,147,9,0,19,3,110,0,428,36,-33,-2
124,9.59,T,81,1,414,0,59,205,112,11,Z,67,0,455,0,527,311,342,6,0,-14,-1,41,0,468,106,230,-5
125,9.59,T,91,5,869,0,44,191,188,4,T,78,2,391,0,30,233,149,8,1,-13,-3,-478,0,-14,42,-39,4
126,4.13,Z,14,0,161,0,0,24,46,1,T,15,1,112,0,9,10,25,4,1,1,1,-49,0,9,-14,-21,3
127,2.49,T,18,0,59,0,27,80,29,3,T,13,0,70,0,116,93,25,6,0,-5,0,11,0,89,13,-4,3
128,4.02,P,11,0,90,0,0,15,12,0,P,11,0,232,0,0,19,14,0,1,0,0,142,0,0,4,2,0
129,10.08,P,52,5,802,0,15,283,97,1,T,75,6,383,0,218,197,145,6,1,23,1,-419,0,203,-86,48,5
130,8.27,Z,53,0,207,0,162,256,294,7,Z,39,0,362,0,426,43,132,10,0,-14,0,155,0,264,-213,-162,3
131,4.4,Z,25,3,399,0,8,31,52,0,P,25,3,178,0,95,133,106,0,1,0,0,-221,0,87,102,54,0
132,4.27,Z,22,0,216,10,278,62,121,1,P,32,1,110,1,475,97,67,8,1,10,1,-106,-9,197,35,-54,7
133,8.21,Z,66,3,389,0,482,223,301,3,P,78,3,686,0,75,327,123,5,0,12,0,297,0,-407,104,-178,2
134,9.59,T,88,1,431,0,613,353,144,9,P,68,0,508,0,45,219,92,25,1,-20,-1,77,0,-568,-134,-52,16
135,9.59,T,68,0,711,0,12,137,163,15,P,79,0,729,0,115,267,138,12,1,11,0,18,0,103,130,-25,-3
136,9.59,T,67,0,723,0,23,261,103,5,T,88,3,698,0,5,313,208,0,0,21,3,-25,0,-18,52,105,-5
137,9.58,P,42,0,425,0,0,62,68,1,P,38,0,343,0,2,67,55,4,0,-4,0,-82,0,2,5,-13,3
138,5.27,P,25,1,178,0,40,87,102,2,P,30,0,288,0,295,127,38,4,0,5,-1,110,0,255,40,-64,2
139,3.45,Z,14,0,136,0,1,35,59,2,P,17,0,83,0,4,33,30,2,0,3,0,-53,0,3,-2,-29,0
140,7.58,P,12,0,270,0,0,31,23,0,T,52,1,692,0,46,118,80,3,1,40,1,422,0,46,87,57,3
141,3.2,Z,18,0,244,0,162,84,103,10,P,17,1,218,0,111,99,44,2,0,-1,1,-26,0,-51,15,-59,-8
142,3.02,Z,7,1,340,0,7,24,38,0,Z,9,0,37,0,12,11,26,1,0,2,-1,-303,0,5,-13,-12,1
143,1.32,Z,9,0,72,0,55,63,27,3,P,7,0,83,0,1,39,9,2,1,-2,0,11,0,-54,-24,-18,-1
144,9.59,Z,63,3,277,0,94,105,239,4,P,58,0,510,0,160,221,171,7,1,-5,-3,233,0,66,116,-68,3
145,10.56,Z,76,0,969,0,88,209,236,3,P,46,0,816,0,3,182,108,9,0,-30,0,-153,0,-85,-27,-128,6
146,8.37,P,24,0,254,0,0,173,53,1,P,34,2,679,0,9,83,52,0,1,10,2,425,0,9,-90,-1,-1
147,6.56,P,39,0,217,0,19,99,43,4,T,71,0,292,0,321,232,151,8,1,32,0,75,0,302,133,108,4
148,6.22,Z,54,5,131,0,302,193,198,5,P,66,0,252,0,314,297,108,8,1,12,-5,121,0,12,104,-90,3
149,4.23,Z,21,0,454,0,72,119,134,6,P,22,0,242,0,83,148,91,3,0,1,0,-212,0,11,29,-43,-3
150,9.59,P,58,0,464,1,48,215,64,7,Z,57,3,425,0,24,91,221,0,1,-1,3,-39,-1,-24,-124,157,-7
151,9.57,T,41,0,582,0,0,69,59,0,T,25,0,639,0,0,27,39,0,1,-16,0,57,0,0,-42,-20,0
152,9.59,P,50,0,259,0,12,125,90,10,T,91,4,517,0,271,224,295,6,0,41,4,258,0,259,99,205,-4
153,3.48,Z,20,0,354,0,246,196,159,8,Z,14,1,255,3,31,68,73,0,0,-6,1,-99,3,-215,-128,-86,-8
154,4.06,P,22,0,36,0,1,32,36,2,T,26,0,340,0,7,54,38,3,0,4,0,304,0,6,22,2,1
155,6.43,T,39,0,326,0,0,27,63,0,P,22,0,232,0,0,13,34,0,1,-17,0,-94,0,0,-14,-29,0
156,9.58,P,44,3,466,0,3,206,126,2,Z,59,0,571,0,36,271,215,9,1,15,-3,105,0,33,65,89,7
157,5.4,T,61,2,248,0,500,139,98,7,P,33,0,164,0,833,101,62,5,0,-28,-2,-84,0,333,-38,-36,-2
158,4.54,Z,33,0,173,0,76,57,147,7,Z,22,0,497,0,48,77,92,1,1,-11,0,324,0,-28,20,-55,-6
159,4.02,Z,9,0,80,0,0,13,34,0,Z,15,1,50,0,0,50,101,0,1,6,1,-30,0,0,37,67,0
160,9.58,P,78,0,302,0,33,239,93,9,T,52,0,817,0,0,165,121,1,0,-26,0,515,0,-33,-74,28,-8
161,10.06,P,71,1,375,0,888,254,256,9,P,72,0,332,0,51,239,146,9,1,1,-1,-43,0,-837,-15,-110,0
162,5.23,P,27,0,246,0,146,149,112,4,T,37,0,413,0,7,125,47,4,1,10,0,167,0,-139,-24,-65,0
163,6.02,T,68,3,134,0,2,222,57,0,P,48,3,263,0,224,138,48,7,1,-20,0,129,0,222,-84,-9,7
164,3.32,T,19,1,59,0,386,64,80,3,T,22,0,108,0,127,121,60,9,0,3,-1,49,0,-259,57,-20,6
165,4.36,Z,17,0,225,0,10,54,136,4,T,26,2,106,0,85,56,80,4,1,9,2,-119,0,75,2,-56,0
166,5.41,Z,32,0,312,0,37,18,89,2,Z,31,4,209,0,38,65,95,0,0,-1,4,-103,0,1,47,6,-2
167,9.59,Z,46,1,566,0,30,110,185,0,Z,57,0,515,0,9,155,145,2,1,11,-1,-51,0,-21,45,-40,2
168,6.53,T,54,0,371,0,541,215,214,9,P,53,2,310,3,231,251,184,0,1,-1,2,-61,3,-310,36,-30,-9
169,9.59,T,120,3,366,0,610,303,291,7,Z,122,16,423,0,823,286,325,14,1,2,13,57,0,213,-17,34,7
170,9.57,T,49,0,324,0,17,45,57,2,P,55,8,784,6,47,188,74,10,0,6,8,460,6,30,143,17,8
171,3.37,T,22,3,137,0,1,38,14,0,T,22,0,194,0,93,45,26,3,0,0,-3,57,0,92,7,12,3
172,9.59,Z,73,0,273,12,1406,292,318,2,T,111,6,394,2,592,251,151,6,1,38,6,121,-10,-814,-41,-167,4
173,6.42,T,21,0,166,0,0,14,42,0,T,11,0,398,0,0,11,28,0,0,-10,0,232,0,0,-3,-14,0
174,3.25,T,19,0,109,0,117,120,115,4,T,24,0,146,0,26,154,17,3,1,5,0,37,0,-91,34,-98,-1
175,6.35,P,29,0,415,0,91,98,43,3,Z,31,0,291,0,78,220,143,4,0,2,0,-124,0,-13,122,100,1
176,9.59,Z,90,2,861,0,75,213,229,0,T,117,2,548,0,121,370,127,9,0,27,0,-313,0,46,157,-102,9
177,7.01,T,49,2,554,0,19,92,55,2,T,45,4,307,0,21,105,53,2,1,-4,2,-247,0,2,13,-2,0
178,9.59,T,36,0,564,0,0,74,52,0,P,38,0,523,0,0,68,87,0,1,2,0,-41,0,0,-6,35,0
179,7.24,Z,46,4,241,0,517,204,250,4,T,73,4,546,0,587,154,112,3,0,27,0,305,0,70,-50,-138,-1
180,9.58,P,56,5,499,0,11,178,67,0,P,47,0,501,0,11,189,93,3,0,-9,-5,2,0,0,11,26,3
181,9.45,Z,64,0,490,0,0,83,199,0,T,76,5,443,0,137,40,77,3,0,12,5,-47,0,137,-43,-122,3
182,1.56,T,7,0,47,0,0,40,11,1,T,11,0,86,0,23,60,23,5,1,4,0,39,0,23,20,12,4
183,7.01,P,47,0,259,0,110,113,175,4,T,44,5,212,0,9,56,79,2,0,-3,5,-47,0,-101,-57,-96,-2
184,7.42,Z,62,0,390,0,68,186,173,6,T,79,3,383,0,386,217,169,6,0,17,3,-7,0,318,31,-4,0
185,5.14,T,32,3,439,0,11,194,84,4,P,23,0,291,0,0,47,38,0,0,-9,-3,-148,0,-11,-147,-46,-4
186,10.44,P,106,0,247,0,181,277,206,11,Z,78,9,362,0,157,248,324,3,0,-28,9,115,0,-24,-29,118,-8
187,0.3,Z,3,0,22,0,8,5,25,7,Z,3,0,0,0,7,7,12,1,0,0,0,-22,0,-1,2,-13,-6
188,4.2,T,28,1,256,0,20,56,50,0,P,15,0,203,0,0,98,23,0,0,-13,-1,-53,0,-20,42,-27,0
189,3.51,P,13,0,281,0,0,19,17,0,T,30,0,126,0,89,58,71,6,1,17,0,-155,0,89,39,54,6
190,9.09,T,84,10,505,0,574,254,156,7,T,78,5,643,0,922,196,417,10,0,-6,-5,138,0,348,-58,261,3
191,4.46,T,60,0,197,0,96,204,85,4,Z,30,6,139,0,104,166,102,6,0,-30,6,-58,0,8,-38,17,2
192,9.59,T,92,1,435,0,378,187,253,11,Z,74,2,671,0,163,442,278,4,1,-18,1,236,0,-215,255,25,-7
193,8.41,T,71,0,465,0,182,299,259,12,T,53,0,492,0,72,204,85,7,0,-18,0,27,0,-110,-95,-174,-5
194,9.44,T,89,0,339,0,123,109,100,9,P,64,0,325,0,30,174,91,8,0,-25,0,-14,0,-93,65,-9,-1
195,5.23,Z,22,3,275,0,19,35,62,0,Z,24,0,376,0,0,61,120,0,1,2,-3,101,0,-19,26,58,0
196,4.42,P,24,0,129,0,277,105,219,6,P,26,0,199,0,322,112,83,10,1,2,0,70,0,45,7,-136,4
197,9.59,Z,90,11,457,0,389,294,308,13,Z,67,5,467,0,444,297,254,6,0,-23,-6,10,0,55,3,-54,-7
198,9.58,T,94,0,1199,0,773,134,160,8,Z,74,1,299,0,30,256,296,0,0,-20,1,-900,0,-743,122,136,-8
199,8.39,Z,130,6,490,0,441,378,285,21,P,116,10,381,0,154,419,218,7,0,-14,4,-109,0,-287,41,-67,-14
200,0.08,P,0,0,59,0,0,0,0,0,P,1,0,2,0,8,1,2,2,1,1,0,-57,0,8,1,2,2
201,8.47,P,32,0,671,0,0,126,202,0,P,21,2,253,0,0,139,29,0,0,-11,2,-418,0,0,13,-173,0
202,10.28,T,51,0,566,0,0,38,102,0,T,71,3,745,0,212,72,104,3,1,20,3,179,0,212,34,2,3
203,9.59,T,64,0,449,0,34,116,86,9,T,89,6,683,1,1191,284,120,17,1,25,6,234,1,1157,168,34,8
204,5.18,T,27,0,268,0,83,50,96,7,P,31,1,218,0,136,74,207,0,0,4,1,-50,0,53,24,111,-7
205,3.42,P,24,0,110,0,293,206,47,6,P,19,0,127,0,4,81,141,1,0,-5,0,17,0,-289,-125,94,-5
206,9.59,T,92,0,658,0,39,114,96,8,T,94,0,733,0,74,246,182,9,1,2,0,75,0,35,132,86,1
207,9.17,T,84,11,534,0,528,262,298,1,T,57,1,562,0,49,216,114,2,0,-27,-10,28,0,-479,-46,-184,1
208,8.41,Z,44,2,675,0,20,85,128,8,P,65,0,481,8,118,150,92,1,1,21,-2,-194,8,98,65,-36,-7
209,6.31,Z,28,4,658,0,46,70,98,0,Z,41,3,263,0,119,167,238,4,0,13,-1,-395,0,73,97,140,4
210,4.43,T,32,1,223,0,219,113,63,7,P,32,0,177,0,89,194,72,10,1,0,-1,-46,0,-130,81,9,3
